PERMNO,date,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,NUMTRD
84398,2004-02-03,113.44000,114.14000,113.78000,25155900,-0.001667,113.94000,113.96000,
84398,2004-02-04,112.79000,113.73000,112.85000,39597600,-0.008174,113.03000,113.03000,
84398,2004-02-05,112.78000,113.54000,113.18000,35990700,0.002924,113.30000,113.30000,
84398,2004-02-06,113.20000,114.70000,114.45000,37237300,0.011221,114.66000,114.67000,
84398,2004-02-09,114.29000,114.87000,114.48000,24859900,0.000262,114.33000,114.34000,
84398,2004-02-10,114.26000,115.14000,114.85000,27933300,0.003232,114.89000,114.90000,
84398,2004-02-11,114.17000,116.39000,116.07000,42976900,0.010623,116.21000,116.20000,
84398,2004-02-12,115.58000,116.27000,115.65000,27828500,-0.003618,115.67000,115.68000,
84398,2004-02-13,114.75000,116.20000,115.13000,44741900,-0.004496,115.11000,115.13000,
84398,2004-02-17,115.77000,116.43000,116.17000,23988000,0.009033,116.14000,116.15000,
84398,2004-02-18,115.35000,116.60000,115.66000,28660400,-0.004390,115.65000,115.66000,
84398,2004-02-19,115.06000,116.39000,115.23000,51183100,-0.003718,115.21000,115.22000,
84398,2004-02-20,114.32000,115.56160,114.88000,46728800,-0.003037,114.99000,115.00000,
84398,2004-02-23,114.17000,115.26000,114.59000,36361600,-0.002524,114.54000,114.55000,
84398,2004-02-24,113.90000,114.99000,114.39000,43958900,-0.001745,114.45000,114.45000,
84398,2004-02-25,114.32000,115.06000,114.87000,31234300,0.004196,114.91000,114.92000,
84398,2004-02-26,114.34000,115.29000,114.94000,29685600,0.000609,115.03000,115.04000,
84398,2004-02-27,114.63000,115.74000,115.02000,39275000,0.000696,115.07000,115.08000,
84398,2004-03-01,115.25000,116.34000,116.16000,33192800,0.009911,116.11000,116.12000,
84398,2004-03-02,115.23000,116.97000,115.48000,38607400,-0.005854,115.50000,115.49000,
84398,2004-03-03,114.92000,115.87000,115.69000,31355400,0.001818,115.71000,115.71000,
84398,2004-03-04,115.52000,116.10000,115.99000,21073300,0.002593,116.05000,116.06000,
84398,2004-03-05,115.28000,116.95000,116.38000,55923000,0.003362,116.28000,116.30000,
84398,2004-03-08,114.91000,116.62000,114.96000,39289600,-0.012201,115.26000,115.27000,
84398,2004-03-09,114.24000,115.21000,114.50000,39749500,-0.004001,114.66000,114.67000,
84398,2004-03-10,112.56000,114.77000,112.58000,67802800,-0.016769,113.00000,112.95000,
84398,2004-03-11,111.10000,113.27000,111.12000,89377600,-0.012969,111.33000,111.30000,
84398,2004-03-12,111.58000,112.71000,112.58000,54026600,0.013139,112.68000,112.69000,
84398,2004-03-15,110.90000,112.35000,111.20000,57687300,-0.012258,111.07000,111.08000,
84398,2004-03-16,110.84000,112.06000,111.79000,60105500,0.005306,111.72000,111.74000,
84398,2004-03-17,112.10000,113.26000,113.04000,41879200,0.011182,113.01000,113.01000,
84398,2004-03-18,111.93000,113.27000,113.07000,60025000,0.000265,112.90000,112.90000,
84398,2004-03-19,111.04000,112.57000,111.06000,48643300,-0.014285,111.27000,111.28000,
84398,2004-03-22,109.10000,110.57000,109.65000,62759000,-0.012696,109.74000,109.73000,
84398,2004-03-23,109.36000,110.40000,109.46000,54104300,-0.001733,109.68000,109.65000,
84398,2004-03-24,108.85000,110.14000,109.55000,51594800,0.000822,109.41000,109.40000,
84398,2004-03-25,109.79000,111.30000,111.00000,49982100,0.013236,111.11000,111.12000,
84398,2004-03-26,110.80000,111.79000,111.03000,37413100,0.000270,111.17000,111.18000,
84398,2004-03-29,111.58000,112.74000,112.59000,44116800,0.014050,112.48000,112.48000,
84398,2004-03-30,112.22000,113.07000,112.97000,39061400,0.003375,112.98000,112.96000,
84398,2004-03-31,112.38000,113.40000,113.10000,48596500,0.001151,112.87000,112.87000,
84398,2004-04-01,113.05000,113.87000,113.78000,45114300,0.006012,113.53000,113.50000,
84398,2004-04-02,113.90000,114.84000,114.64000,50997700,0.007558,114.43000,114.43000,
84398,2004-04-05,114.44000,115.38000,115.27000,30280100,0.005495,115.32000,115.33000,
84398,2004-04-06,114.62000,115.18000,114.90000,28480100,-0.003210,115.08000,115.08000,
84398,2004-04-07,114.11000,114.98000,114.63000,45898400,-0.002350,114.48000,114.49000,
84398,2004-04-08,113.74000,115.41000,114.37000,46937800,-0.002268,114.25000,114.21000,
84398,2004-04-12,114.57000,115.08000,114.82000,23087200,0.003935,114.86000,114.87000,
84398,2004-04-13,113.02000,115.30000,113.21000,56235500,-0.014022,113.30000,113.29000,
84398,2004-04-14,112.55000,113.64000,113.39000,62334300,0.001590,113.19000,113.16000,
84398,2004-04-15,112.36000,113.78000,112.96000,61621000,-0.003792,113.19000,113.20000,
84398,2004-04-16,112.98000,114.05000,113.83000,47059300,0.007702,113.72000,113.72000,
84398,2004-04-19,113.27000,113.99000,113.83000,28278000,0.000000,113.87000,113.89000,
84398,2004-04-20,111.78000,114.32000,111.92000,53345100,-0.016779,112.13000,112.14000,
84398,2004-04-21,111.87000,112.95000,112.67000,50301300,0.006701,112.81000,112.82000,
84398,2004-04-22,112.44000,114.67000,114.25000,62142800,0.014023,114.44000,114.45000,
84398,2004-04-23,113.79000,114.57000,114.36000,29422100,0.000963,114.39000,114.38000,
84398,2004-04-26,113.60000,114.94000,114.20000,35565200,-0.001399,113.91000,113.93000,
84398,2004-04-27,113.96000,115.12000,114.30000,43490500,0.000876,114.22000,114.23000,
84398,2004-04-28,112.50000,114.01000,112.82000,50173500,-0.012948,112.58000,112.58000,
84398,2004-04-29,111.16000,113.32000,111.83000,69703400,-0.008775,111.85000,111.86000,
84398,2004-04-30,110.90000,112.38000,110.96000,48683900,-0.007780,111.25000,111.13000,
84398,2004-05-03,111.35000,112.29000,112.15000,33764600,0.010725,112.17000,112.14000,
84398,2004-05-04,111.66000,113.26000,112.06000,51193900,-0.000803,112.36000,112.35000,
84398,2004-05-05,112.16000,112.96000,112.78000,34430300,0.006425,112.59000,112.61000,
84398,2004-05-06,111.00000,112.58950,111.81000,55006900,-0.008601,111.84000,111.84000,
84398,2004-05-07,109.96000,112.23000,109.96000,60957100,-0.016546,110.30000,110.30000,
84398,2004-05-10,108.36000,109.75000,108.83000,75336300,-0.010276,109.12000,109.13000,
84398,2004-05-11,109.33000,110.05000,109.75000,48348700,0.008454,110.01000,110.01000,
84398,2004-05-12,108.06000,110.54000,110.45000,90896000,0.006378,110.31000,110.30000,
84398,2004-05-13,109.63000,110.81000,109.99000,57500700,-0.004165,110.15000,110.15000,
84398,2004-05-14,109.27000,110.74000,110.04000,54131800,0.000455,110.03000,110.02000,
84398,2004-05-17,108.41000,109.50000,109.10000,55069500,-0.008542,108.86000,108.85000,
84398,2004-05-18,109.33000,109.94000,109.65000,30203100,0.005041,109.70000,109.70000,
84398,2004-05-19,109.15000,111.18000,109.27000,55014300,-0.003466,109.41000,109.40000,
84398,2004-05-20,109.04000,109.87000,109.62000,38126200,0.003203,109.51000,109.51000,
84398,2004-05-21,109.47000,110.55000,109.81000,47486600,0.001733,109.94000,109.93000,
84398,2004-05-24,109.68000,110.76000,110.27000,40976800,0.004189,110.09000,110.09000,
84398,2004-05-25,109.60000,111.98000,111.85000,51714100,0.014328,111.92000,111.91000,
84398,2004-05-26,111.51000,112.29000,112.24000,35982700,0.003487,112.09000,112.09000,
84398,2004-05-27,112.06000,113.03000,112.87000,45311900,0.005613,112.71000,112.72000,
84398,2004-05-28,112.36000,112.88000,112.86000,23369000,-0.000089,112.74000,112.71000,
84398,2004-06-01,111.87000,112.86000,112.71000,41059200,-0.001329,112.69000,112.70000,
84398,2004-06-02,112.46000,113.48000,113.13000,39780500,0.003726,113.11000,113.12000,
